0, 5.000, 0.000,  0.000
84, 5.000, 0.000,  0.000
186, 5.000, 0.000,  0.000
284, 5.000, 0.000,  0.000
386, 5.000, 0.000,  0.000
484, 5.000, 0.000,  0.000
586, 5.000, 0.000,  0.000
684, 5.000, 0.000,  0.000
786, 5.000, 0.000,  0.000
884, 5.000, 0.000,  0.000
986, 5.000, 0.000,  0.000
1084, 5.000, 0.000,  0.000
1186, 5.000, 0.000,  0.000
1284, 5.000, 0.000,  0.000
1387, 5.000, 0.000,  0.000
1484, 5.000, 0.000,  0.000
1586, 5.000, 0.000,  0.000
1684, 5.000, 0.000,  0.000
1787, 5.000, 0.000,  0.000
1884, 5.000, 0.000,  0.000
1986, 5.000, 0.000,  0.000
2084, 5.000, 0.000,  0.000
2187, 5.000, 0.000,  0.000
2284, 5.000, 0.000,  0.000
2386, 5.000, 0.000,  0.000
2484, 5.000, 0.000,  0.000
2586, 5.000, 0.000,  0.000
2684, 5.000, 0.000,  0.000
2786, 5.000, 0.000,  0.000
2884, 5.000, 0.000,  0.000
2987, 5.000, 0.000,  0.000
3084, 5.000, 0.000,  0.000
